Date,Open,High,Low,Close,Adj Close,Volume
2006-02-20,1000.859985,1018.809998,996.919983,1012.070007,1012.070007,0
2006-02-27,1013.609985,1050.400024,1006.909973,1036.260010,1036.260010,0
2006-03-06,1039.209961,1040.770020,994.809998,1003.140015,1003.140015,0
2006-03-13,1007.250000,1039.099976,1002.830017,1024.939941,1024.939941,0
2006-03-20,1027.849976,1042.859985,1014.190002,1033.770020,1033.770020,0
2006-03-27,1032.770020,1058.689941,1025.030029,1048.800049,1048.800049,0
2006-04-03,1054.310059,1078.709961,1046.979980,1061.550049,1061.550049,0
2006-04-10,1061.280029,1065.030029,1041.689941,1055.760010,1055.760010,0
2006-04-17,1053.199951,1084.619995,1035.400024,1055.050049,1055.050049,0
2006-04-24,1052.010010,1073.939941,1045.020020,1055.469971,1055.469971,0
2006-05-01,1057.849976,1076.920044,1043.520020,1071.880005,1071.880005,0
2006-05-08,1070.930054,1073.439941,1005.890015,1006.580017,1006.580017,0
2006-05-15,1001.289978,1009.169983,964.799988,979.510010,979.510010,0
2006-05-22,971.090027,978.710022,944.280029,972.210022,972.210022,0
2006-05-29,967.809998,990.489990,952.530029,980.039978,980.039978,0
2006-06-05,975.979980,978.969971,915.590027,933.940002,933.940002,0
2006-06-12,933.869995,950.359985,902.729980,940.299988,940.299988,0
2006-06-19,943.830017,963.400024,926.840027,939.520020,939.520020,0
2006-06-26,940.599976,957.070007,910.669983,947.309998,947.309998,0
2006-07-03,949.799988,955.460022,913.260010,917.099976,917.099976,0
2006-07-10,919.700012,921.960022,860.489990,866.359985,866.359985,0
2006-07-17,865.429993,886.650024,839.750000,842.280029,842.280029,0
2006-07-24,850.429993,896.729980,850.429993,896.010010,896.010010,0
2006-07-31,892.590027,914.960022,872.830017,893.429993,893.429993,0
2006-08-07,891.000000,908.700012,877.020020,884.419983,884.419983,0
2006-08-14,892.840027,969.179993,889.739990,961.989990,961.989990,0
2006-08-21,953.739990,958.989990,936.520020,948.789978,948.789978,0
2006-08-28,947.950012,976.989990,947.619995,969.150024,969.150024,0
2006-09-04,969.130005,980.210022,941.719971,953.789978,953.789978,0
2006-09-11,947.299988,1021.400024,945.049988,1007.710022,1007.710022,0
2006-09-18,1007.780029,1025.209961,992.390015,1003.330017,1003.330017,0
